!SIL	SIL
<SPOKEN_NOISE>	SPN
킬리만자로	f15 m20 e7 f5 m20 f6 m0 e3 f12 m0 f5 m8
킵	f15 m20 e16
킵니다	f15 m20 e16 f2 m20 f3 m0
킹아더	f15 m20 e20 f11 m0 f3 m4
타	f16 m0
타게	f16 m0 f0 m5
타격을	f16 m0 f0 m6 e0 f11 m18 e7
타계입니다	f16 m0 f0 m7 f11 m20 e16 f2 m20 f3 m0
타고	f16 m0 f0 m8
타고난	f16 m0 f0 m8 f2 m0 e3
타는	f16 m0 f2 m18 e3
타는데	f16 m0 f2 m18 e3 f3 m5
타는지	f16 m0 f2 m18 e3 f12 m20
타니까	f16 m0 f2 m20 f1 m0
타다가	f16 m0 f3 m0 f0 m0
타러	f16 m0 f5 m4
타러간다고	f16 m0 f5 m4 f0 m0 e3 f3 m0 f0 m8
타려고	f16 m0 f5 m6 f0 m8
타면	f16 m0 f6 m6 e3
타보자가	f16 m0 f7 m8 f12 m0 f0 m0
타보자입니다	f16 m0 f7 m8 f12 m0 f11 m20 e16 f2 m20 f3 m0
타서	f16 m0 f9 m4
타석	f16 m0 f9 m4 e0
타세요	f16 m0 f9 m5 f11 m12
타시면	f16 m0 f9 m20 f6 m6 e3
타시면돼요	f16 m0 f9 m20 f6 m6 e3 f3 m10 f11 m12
타야	f16 m0 f11 m2
타오르는	f16 m0 f11 m8 f5 m18 f2 m18 e3
타운하우스	f16 m0 f11 m13 e3 f18 m0 f11 m13 f9 m18
타이거즈를	f16 m0 f11 m20 f0 m4 f12 m18 f5 m18 e7
타이거즈의	f16 m0 f11 m20 f0 m4 f12 m18 f11 m19
타이머를	f16 m0 f11 m20 f6 m4 f5 m18 e7
타이어가	f16 m0 f11 m20 f11 m4 f0 m0
타이완에	f16 m0 f11 m20 f11 m9 e3 f11 m5
타이틀	f16 m0 f11 m20 f16 m18 e7
타이틀곡	f16 m0 f11 m20 f16 m18 e7 f0 m8 e0
타이틀곡은	f16 m0 f11 m20 f16 m18 e7 f0 m8 e0 f11 m18 e3
타이틀곡을	f16 m0 f11 m20 f16 m18 e7 f0 m8 e0 f11 m18 e7
타이틀곡이	f16 m0 f11 m20 f16 m18 e7 f0 m8 e0 f11 m20
타일	f16 m0 f11 m20 e7
타임	f16 m0 f11 m20 e15
타임머신이	f16 m0 f11 m20 e15 f6 m4 f9 m20 e3 f11 m20
타임머신입니다	f16 m0 f11 m20 e15 f6 m4 f9 m20 e3 f11 m20 e16 f2 m20 f3 m0
타점이	f16 m0 f12 m4 e15 f11 m20
타지	f16 m0 f12 m20
탁	f16 m0 e0
탁자	f16 m0 e0 f12 m0
탁하네	f16 m0 e0 f18 m0 f2 m5
탁한	f16 m0 e0 f18 m0 e3
탁합니다	f16 m0 e0 f18 m0 e16 f2 m20 f3 m0
탁해요	f16 m0 e0 f18 m1 f11 m12
탄	f16 m0 e3
탄력받고	f16 m0 e3 f5 m6 e0 f7 m0 e6 f0 m8
탄산음료	f16 m0 e3 f9 m0 e3 f11 m18 e15 f5 m12
탄생했다고	f16 m0 e3 f9 m1 e20 f18 m1 e19 f3 m0 f0 m8
탄수화물	f16 m0 e3 f9 m13 f18 m9 f6 m13 e7
탄압	f16 m0 e3 f11 m0 e16
탄트라	f16 m0 e3 f16 m18 f5 m0
탄핵	f16 m0 e3 f18 m1 e0
탄핵사례	f16 m0 e3 f18 m1 e0 f9 m0 f5 m7
탈	f16 m0 e7
탈골	f16 m0 e7 f0 m8 e7
탈국	f16 m0 e7 f0 m13 e0
탈락이	f16 m0 e7 f5 m0 e0 f11 m20
탈락입니다	f16 m0 e7 f5 m0 e0 f11 m20 e16 f2 m20 f3 m0
탈북	f16 m0 e7 f7 m13 e0
탈북자	f16 m0 e7 f7 m13 e0 f12 m0
탈북자의	f16 m0 e7 f7 m13 e0 f12 m0 f11 m19
탈수	f16 m0 e7 f9 m13
탈수가	f16 m0 e7 f9 m13 f0 m0
탈수로	f16 m0 e7 f9 m13 f5 m8
탈수모드	f16 m0 e7 f9 m13 f6 m8 f3 m18
탈수모드로	f16 m0 e7 f9 m13 f6 m8 f3 m18 f5 m8
탈수모드를	f16 m0 e7 f9 m13 f6 m8 f3 m18 f5 m18 e7
탈수무	f16 m0 e7 f9 m13 f6 m13
탈수시간은	f16 m0 e7 f9 m13 f9 m20 f0 m0 e3 f11 m18 e3
탈수해야	f16 m0 e7 f9 m13 f18 m1 f11 m2
탈의실	f16 m0 e7 f11 m19 f9 m20 e7
탈출	f16 m0 e7 f14 m13 e7
탈출샷의	f16 m0 e7 f14 m13 e7 f9 m2 e18 f11 m19
탈출이	f16 m0 e7 f14 m13 e7 f11 m20
탈퇴	f16 m0 e7 f16 m11
탈환이	f16 m0 e7 f18 m9 e3 f11 m20
탐색전입니다	f16 m0 e15 f9 m1 e0 f12 m4 e3 f11 m20 e16 f2 m20 f3 m0
탑	f16 m0 e16
탑건	f16 m0 e16 f0 m4 e3
탑텐	f16 m0 e16 f16 m5 e3
탑텐에	f16 m0 e16 f16 m5 e3 f11 m5
탑텐에서	f16 m0 e16 f16 m5 e3 f11 m5 f9 m4
탑텐중에	f16 m0 e16 f16 m5 e3 f12 m13 e20 f11 m5
탓에	f16 m0 e18 f11 m5
탓으로	f16 m0 e18 f11 m18 f5 m8
탓인지	f16 m0 e18 f11 m20 e3 f12 m20
탔다	f16 m0 e19 f3 m0
탕	f16 m0 e20
탕수육은	f16 m0 e20 f9 m13 f11 m17 e0 f11 m18 e3
탕수육을	f16 m0 e20 f9 m13 f11 m17 e0 f11 m18 e7
태	f16 m1
태국	f16 m1 f0 m13 e0
태국의	f16 m1 f0 m13 e0 f11 m19
태권	f16 m1 f0 m14 e3
태권금메달	f16 m1 f0 m14 e3 f0 m18 e15 f6 m5 f3 m0 e7
태권도	f16 m1 f0 m14 e3 f3 m8
태권도학원에	f16 m1 f0 m14 e3 f3 m8 f18 m0 e0 f11 m14 e3 f11 m5
태권브이	f16 m1 f0 m14 e3 f7 m18 f11 m20
태권브이가	f16 m1 f0 m14 e3 f7 m18 f11 m20 f0 m0
태그	f16 m1 f0 m18
태극	f16 m1 f0 m18 e0
태극기	f16 m1 f0 m18 e0 f0 m20
태극기를	f16 m1 f0 m18 e0 f0 m20 f5 m18 e7
태극낭자	f16 m1 f0 m18 e0 f2 m0 e20 f12 m0
태극전사	f16 m1 f0 m18 e0 f12 m4 e3 f9 m0
태도가	f16 m1 f3 m8 f0 m0
태도는	f16 m1 f3 m8 f2 m18 e3
태도로	f16 m1 f3 m8 f5 m8
태도를	f16 m1 f3 m8 f5 m18 e7
태도에	f16 m1 f3 m8 f11 m5
태반	f16 m1 f7 m0 e3
태범이	f16 m1 f7 m4 e15 f11 m20
태빈이	f16 m1 f7 m20 e3 f11 m20
태수	f16 m1 f9 m13
태식이한테	f16 m1 f9 m20 e0 f11 m20 f18 m0 e3 f16 m5
태안	f16 m1 f11 m0 e3
태안군에	f16 m1 f11 m0 e3 f0 m13 e3 f11 m5
태안군이에요	f16 m1 f11 m0 e3 f0 m13 e3 f11 m20 f11 m5 f11 m12
태안이한테	f16 m1 f11 m0 e3 f11 m20 f18 m0 e3 f16 m5
태양서점	f16 m1 f11 m2 e20 f9 m4 f12 m4 e15
태양을	f16 m1 f11 m2 e20 f11 m18 e7
태양이	f16 m1 f11 m2 e20 f11 m20
태어나서	f16 m1 f11 m4 f2 m0 f9 m4
태어난	f16 m1 f11 m4 f2 m0 e3
태어날	f16 m1 f11 m4 f2 m0 e7
태연이	f16 m1 f11 m6 e3 f11 m20
태연이한테	f16 m1 f11 m6 e3 f11 m20 f18 m0 e3 f16 m5
태영	f16 m1 f11 m6 e20
태영이	f16 m1 f11 m6 e20 f11 m20
태우고	f16 m1 f11 m13 f0 m8
태운	f16 m1 f11 m13 e3
태운이	f16 m1 f11 m13 e3 f11 m20
태울	f16 m1 f11 m13 e7
태은이라고	f16 m1 f11 m18 e3 f11 m20 f5 m0 f0 m8
태일이라고	f16 m1 f11 m20 e7 f11 m20 f5 m0 f0 m8
태일이에게	f16 m1 f11 m20 e7 f11 m20 f11 m5 f0 m5
태일이한테	f16 m1 f11 m20 e7 f11 m20 f18 m0 e3 f16 m5
태정이	f16 m1 f12 m4 e20 f11 m20
태진아	f16 m1 f12 m20 e3 f11 m0
태진이	f16 m1 f12 m20 e3 f11 m20
태진이한테도	f16 m1 f12 m20 e3 f11 m20 f18 m0 e3 f16 m5 f3 m8
태풍	f16 m1 f17 m13 e20
태풍도	f16 m1 f17 m13 e20 f3 m8
태풍때문에요	f16 m1 f17 m13 e20 f4 m1 f6 m13 e3 f11 m5 f11 m12
태풍메기	f16 m1 f17 m13 e20 f6 m5 f0 m20
태풍소	f16 m1 f17 m13 e20 f9 m8
태풍에	f16 m1 f17 m13 e20 f11 m5
태풍에서	f16 m1 f17 m13 e20 f11 m5 f9 m4
태풍은	f16 m1 f17 m13 e20 f11 m18 e3
태풍의	f16 m1 f17 m13 e20 f11 m19
태풍이	f16 m1 f17 m13 e20 f11 m20
태풍이름은	f16 m1 f17 m13 e20 f11 m20 f5 m18 e15 f11 m18 e3
태풍이름이	f16 m1 f17 m13 e20 f11 m20 f5 m18 e15 f11 m20
태풍인데	f16 m1 f17 m13 e20 f11 m20 e3 f3 m5
태풍지나가니	f16 m1 f17 m13 e20 f12 m20 f2 m0 f0 m0 f2 m20
태풍피해	f16 m1 f17 m13 e20 f17 m20 f18 m1
태한이한테	f16 m1 f18 m0 e3 f11 m20 f18 m0 e3 f16 m5
태호랑	f16 m1 f18 m8 f5 m0 e20
태환과의	f16 m1 f18 m9 e3 f0 m9 f11 m19
태환이네	f16 m1 f18 m9 e3 f11 m20 f2 m5
태훈이	f16 m1 f18 m13 e3 f11 m20
태훈이와의	f16 m1 f18 m13 e3 f11 m20 f11 m9 f11 m19
태훈이한테	f16 m1 f18 m13 e3 f11 m20 f18 m0 e3 f16 m5
태희	f16 m1 f18 m19
태희네	f16 m1 f18 m19 f2 m5
택시	f16 m1 e0 f9 m20
택시를	f16 m1 e0 f9 m20 f5 m18 e7
택지지구	f16 m1 e0 f12 m20 f12 m20 f0 m13
택해주세요	f16 m1 e0 f18 m1 f12 m13 f9 m5 f11 m12
탤런트	f16 m1 e7 f5 m4 e3 f16 m18
탤런트가	f16 m1 e7 f5 m4 e3 f16 m18 f0 m0
탱크	f16 m1 e20 f15 m18
터	f16 m4
터널	f16 m4 f2 m4 e7
터널내	f16 m4 f2 m4 e7 f2 m1
터널청소	f16 m4 f2 m4 e7 f14 m4 e20 f9 m8
터뜨렸다	f16 m4 f4 m18 f5 m6 e19 f3 m0
터라	f16 m4 f5 m0
터보	f16 m4 f7 m8
터였다	f16 m4 f11 m6 e19 f3 m0
터이니	f16 m4 f11 m20 f2 m20
터인데	f16 m4 f11 m20 e3 f3 m5
터져	f16 m4 f12 m6
터졌다	f16 m4 f12 m6 e19 f3 m0
터지는	f16 m4 f12 m20 f2 m18 e3
터질	f16 m4 f12 m20 e7
터질까	f16 m4 f12 m20 e7 f1 m0
터키	f16 m4 f15 m20
터키에서	f16 m4 f15 m20 f11 m5 f9 m4
터트렸다	f16 m4 f16 m18 f5 m6 e19 f3 m0
턱	f16 m4 e0
턱관절	f16 m4 e0 f0 m9 e3 f12 m4 e7
턱없이	f16 m4 e0 f11 m4 e17 f11 m20
턱을	f16 m4 e0 f11 m18 e7
턱이	f16 m4 e0 f11 m20
털고	f16 m4 e7 f0 m8
털썩	f16 m4 e7 f10 m4 e0
털어	f16 m4 e7 f11 m4
털을래	f16 m4 e7 f11 m18 e7 f5 m1
털이	f16 m4 e7 f11 m20
털자가	f16 m4 e7 f12 m0 f0 m0
텅	f16 m4 e20
테니	f16 m5 f2 m20
테니까	f16 m5 f2 m20 f1 m0
테니까요	f16 m5 f2 m20 f1 m0 f11 m12
테니깐	f16 m5 f2 m20 f1 m0 e3
테니스	f16 m5 f2 m20 f9 m18
테니스약속은	f16 m5 f2 m20 f9 m18 f11 m2 e0 f9 m8 e0 f11 m18 e3
테란	f16 m5 f5 m0 e3
테러	f16 m5 f5 m4
테러단체	f16 m5 f5 m4 f3 m0 e3 f14 m5
테러대상	f16 m5 f5 m4 f3 m1 f9 m0 e20
테러조직의	f16 m5 f5 m4 f12 m8 f12 m20 e0 f11 m19
테러준비가	f16 m5 f5 m4 f12 m13 e3 f7 m20 f0 m0
테러첩보	f16 m5 f5 m4 f14 m4 e16 f7 m8
테레비	f16 m5 f5 m5 f7 m20
테레비를	f16 m5 f5 m5 f7 m20 f5 m18 e7
테레비에서	f16 m5 f5 m5 f7 m20 f11 m5 f9 m4
테레비전	f16 m5 f5 m5 f7 m20 f12 m4 e3
테레비전에	f16 m5 f5 m5 f7 m20 f12 m4 e3 f11 m5
테레비전에서	f16 m5 f5 m5 f7 m20 f12 m4 e3 f11 m5 f9 m4
테레비전을	f16 m5 f5 m5 f7 m20 f12 m4 e3 f11 m18 e7
테레비젼	f16 m5 f5 m5 f7 m20 f12 m6 e3
테레비젼에서	f16 m5 f5 m5 f7 m20 f12 m6 e3 f11 m5 f9 m4
테레비젼을	f16 m5 f5 m5 f7 m20 f12 m6 e3 f11 m18 e7
테르네	f16 m5 f5 m18 f2 m5
테리비젼	f16 m5 f5 m20 f7 m20 f12 m6 e3
테마주	f16 m5 f6 m0 f12 m13
테마즈	f16 m5 f6 m0 f12 m18
테스가	f16 m5 f9 m18 f0 m0
테스는	f16 m5 f9 m18 f2 m18 e3
테스의	f16 m5 f9 m18 f11 m19
테이	f16 m5 f11 m20
테이거든	f16 m5 f11 m20 f0 m4 f3 m18 e3
테이블	f16 m5 f11 m20 f7 m18 e7
테이의	f16 m5 f11 m20 f11 m19
테이프	f16 m5 f11 m20 f17 m18
테이프가	f16 m5 f11 m20 f17 m18 f0 m0
테이프는	f16 m5 f11 m20 f17 m18 f2 m18 e3
테이프를	f16 m5 f11 m20 f17 m18 f5 m18 e7
테이프야	f16 m5 f11 m20 f17 m18 f11 m2
테이프이	f16 m5 f11 m20 f17 m18 f11 m20
테잎	f16 m5 f11 m20 e25
테잎분량이	f16 m5 f11 m20 e25 f7 m13 e3 f5 m2 e20 f11 m20
테잎은	f16 m5 f11 m20 e25 f11 m18 e3
테잎을	f16 m5 f11 m20 e25 f11 m18 e7
테잎이	f16 m5 f11 m20 e25 f11 m20
테지	f16 m5 f12 m20
테크	f16 m5 f15 m18
테크노마트	f16 m5 f15 m18 f2 m8 f6 m0 f16 m18
테크노마트는	f16 m5 f15 m18 f2 m8 f6 m0 f16 m18 f2 m18 e3
테크노마트에	f16 m5 f15 m18 f2 m8 f6 m0 f16 m18 f11 m5
텍사스	f16 m5 e0 f9 m0 f9 m18
텍사스는	f16 m5 e0 f9 m0 f9 m18 f2 m18 e3
텍사스유	f16 m5 e0 f9 m0 f9 m18 f11 m17
텍삭스	f16 m5 e0 f9 m0 e0 f9 m18
텐	f16 m5 e3
텐데	f16 m5 e3 f3 m5
텐에	f16 m5 e3 f11 m5
텐에서	f16 m5 e3 f11 m5 f9 m4
텐은	f16 m5 e3 f11 m18 e3
텐의	f16 m5 e3 f11 m19
텐입니다	f16 m5 e3 f11 m20 e16 f2 m20 f3 m0
텐중에	f16 m5 e3 f12 m13 e20 f11 m5
텐중에서	f16 m5 e3 f12 m13 e20 f11 m5 f9 m4
텔레	f16 m5 e7 f5 m5
텔레비	f16 m5 e7 f5 m5 f7 m20
텔레비됸를	f16 m5 e7 f5 m5 f7 m20 f3 m12 e3 f5 m18 e7
텔레비전	f16 m5 e7 f5 m5 f7 m20 f12 m4 e3
텔레비전에	f16 m5 e7 f5 m5 f7 m20 f12 m4 e3 f11 m5
텔레비전에서	f16 m5 e7 f5 m5 f7 m20 f12 m4 e3 f11 m5 f9 m4
텔레비전에스	f16 m5 e7 f5 m5 f7 m20 f12 m4 e3 f11 m5 f9 m18
텔레비전으로	f16 m5 e7 f5 m5 f7 m20 f12 m4 e3 f11 m18 f5 m8
텔레비전을	f16 m5 e7 f5 m5 f7 m20 f12 m4 e3 f11 m18 e7
텔레비전의	f16 m5 e7 f5 m5 f7 m20 f12 m4 e3 f11 m19
텔레비젼	f16 m5 e7 f5 m5 f7 m20 f12 m6 e3
텔레비젼을	f16 m5 e7 f5 m5 f7 m20 f12 m6 e3 f11 m18 e7
텔레비젼의	f16 m5 e7 f5 m5 f7 m20 f12 m6 e3 f11 m19
텔레콤	f16 m5 e7 f5 m5 f15 m8 e15
텔레콤과	f16 m5 e7 f5 m5 f15 m8 e15 f0 m9
텔레콤등	f16 m5 e7 f5 m5 f15 m8 e15 f3 m18 e20
텔레콤의	f16 m5 e7 f5 m5 f15 m8 e15 f11 m19
텔리비젼	f16 m5 e7 f5 m20 f7 m20 f12 m6 e3
텔슨전자	f16 m5 e7 f9 m18 e3 f12 m4 e3 f12 m0
토	f16 m8
토담골이	f16 m8 f3 m0 e15 f0 m8 e7 f11 m20
토대로	f16 m8 f3 m1 f5 m8
토론	f16 m8 f5 m8 e3
토론을	f16 m8 f5 m8 e3 f11 m18 e7
토론이	f16 m8 f5 m8 e3 f11 m20
토마토	f16 m8 f6 m0 f16 m8
토막살해	f16 m8 f6 m0 e0 f9 m0 e7 f18 m1
토비콤	f16 m8 f7 m20 f15 m8 e15
토사고팽의	f16 m8 f9 m0 f0 m8 f17 m1 e20 f11 m19
토사구팽의	f16 m8 f9 m0 f0 m13 f17 m1 e20 f11 m19
토스트기를	f16 m8 f9 m18 f16 m18 f0 m20 f5 m18 e7
토요경마	f16 m8 f11 m12 f0 m6 e20 f6 m0
토요일	f16 m8 f11 m12 f11 m20 e7
토요일거를	f16 m8 f11 m12 f11 m20 e7 f0 m4 f5 m18 e7
토요일걸로	f16 m8 f11 m12 f11 m20 e7 f0 m4 e7 f5 m8
토요일과	f16 m8 f11 m12 f11 m20 e7 f0 m9
토요일까지	f16 m8 f11 m12 f11 m20 e7 f1 m0 f12 m20
토요일까지입니다	f16 m8 f11 m12 f11 m20 e7 f1 m0 f12 m20 f11 m20 e16 f2 m20 f3 m0
토요일날	f16 m8 f11 m12 f11 m20 e7 f2 m0 e7
토요일날로	f16 m8 f11 m12 f11 m20 e7 f2 m0 e7 f5 m8
토요일로	f16 m8 f11 m12 f11 m20 e7 f5 m8
토요일마다	f16 m8 f11 m12 f11 m20 e7 f6 m0 f3 m0
토요일부터	f16 m8 f11 m12 f11 m20 e7 f7 m13 f16 m4
토요일에	f16 m8 f11 m12 f11 m20 e7 f11 m5
토요일에는	f16 m8 f11 m12 f11 m20 e7 f11 m5 f2 m18 e3
토요일엔	f16 m8 f11 m12 f11 m20 e7 f11 m5 e3
토요일은	f16 m8 f11 m12 f11 m20 e7 f11 m18 e3
토요일을	f16 m8 f11 m12 f11 m20 e7 f11 m18 e7
토요일의	f16 m8 f11 m12 f11 m20 e7 f11 m19
토요일이	f16 m8 f11 m12 f11 m20 e7 f11 m20
토요일이거든	f16 m8 f11 m12 f11 m20 e7 f11 m20 f0 m4 f3 m18 e3
토요일이고	f16 m8 f11 m12 f11 m20 e7 f11 m20 f0 m8
토요일이라고	f16 m8 f11 m12 f11 m20 e7 f11 m20 f5 m0 f0 m8
토요일이래	f16 m8 f11 m12 f11 m20 e7 f11 m20 f5 m1
토요일이야	f16 m8 f11 m12 f11 m20 e7 f11 m20 f11 m2
토요일이에요	f16 m8 f11 m12 f11 m20 e7 f11 m20 f11 m5 f11 m12
토요일입니다	f16 m8 f11 m12 f11 m20 e7 f11 m20 e16 f2 m20 f3 m0
토요일정도가	f16 m8 f11 m12 f11 m20 e7 f12 m4 e20 f3 m8 f0 m0
토요일쯤	f16 m8 f11 m12 f11 m20 e7 f13 m18 e15
토지	f16 m8 f12 m20
토지보상	f16 m8 f12 m20 f7 m8 f9 m0 e20
토지이용규제	f16 m8 f12 m20 f11 m20 f11 m12 e20 f0 m17 f12 m5
토지투기	f16 m8 f12 m20 f16 m13 f0 m20
토착민족이	f16 m8 f14 m0 e0 f6 m20 e3 f12 m8 e0 f11 m20
토텐	f16 m8 f16 m5 e3
토토	f16 m8 f16 m8
토해	f16 m8 f18 m1
톨게이트	f16 m8 e7 f0 m5 f11 m20 f16 m18
톰	f16 m8 e15
톱	f16 m8 e16
톱스타	f16 m8 e16 f9 m18 f16 m0
톱텐에서	f16 m8 e16 f16 m5 e3 f11 m5 f9 m4
통	f16 m8 e20
통과가	f16 m8 e20 f0 m9 f0 m0
통과될	f16 m8 e20 f0 m9 f3 m11 e7
통방	f16 m8 e20 f7 m0 e20
통산	f16 m8 e20 f9 m0 e3
통상	f16 m8 e20 f9 m0 e20
통신	f16 m8 e20 f9 m20 e3
통신산업	f16 m8 e20 f9 m20 e3 f9 m0 e3 f11 m4 e16
통신요금	f16 m8 e20 f9 m20 e3 f11 m12 f0 m18 e15
통신이에요	f16 m8 e20 f9 m20 e3 f11 m20 f11 m5 f11 m12
통신입니다	f16 m8 e20 f9 m20 e3 f11 m20 e16 f2 m20 f3 m0
통신회사	f16 m8 e20 f9 m20 e3 f18 m11 f9 m0
통신회사를	f16 m8 e20 f9 m20 e3 f18 m11 f9 m0 f5 m18 e7
통의	f16 m8 e20 f11 m19
통이	f16 m8 e20 f11 m20
통이나	f16 m8 e20 f11 m20 f2 m0
통이니	f16 m8 e20 f11 m20 f2 m20
통이야	f16 m8 e20 f11 m20 f11 m2
통이지	f16 m8 e20 f11 m20 f12 m20
통인지	f16 m8 e20 f11 m20 e3 f12 m20
통일	f16 m8 e20 f11 m20 e7
통일대기	f16 m8 e20 f11 m20 e7 f3 m1 f0 m20
통일배기	f16 m8 e20 f11 m20 e7 f7 m1 f0 m20
통일부	f16 m8 e20 f11 m20 e7 f7 m13
통일을	f16 m8 e20 f11 m20 e7 f11 m18 e7
통있니	f16 m8 e20 f11 m20 e19 f2 m20
통장	f16 m8 e20 f12 m0 e20
통장과	f16 m8 e20 f12 m0 e20 f0 m9
통장에	f16 m8 e20 f12 m0 e20 f11 m5
통장에서	f16 m8 e20 f12 m0 e20 f11 m5 f9 m4
통장엔	f16 m8 e20 f12 m0 e20 f11 m5 e3
통장으로	f16 m8 e20 f12 m0 e20 f11 m18 f5 m8
통장은	f16 m8 e20 f12 m0 e20 f11 m18 e3
통장은행은	f16 m8 e20 f12 m0 e20 f11 m18 e3 f18 m1 e20 f11 m18 e3
통장은행을	f16 m8 e20 f12 m0 e20 f11 m18 e3 f18 m1 e20 f11 m18 e7
통장의	f16 m8 e20 f12 m0 e20 f11 m19
통장이	f16 m8 e20 f12 m0 e20 f11 m20
통장이야	f16 m8 e20 f12 m0 e20 f11 m20 f11 m2
통장이에요	f16 m8 e20 f12 m0 e20 f11 m20 f11 m5 f11 m12
통장입니다	f16 m8 e20 f12 m0 e20 f11 m20 e16 f2 m20 f3 m0
통제가	f16 m8 e20 f12 m5 f0 m0
통제됐어요	f16 m8 e20 f12 m5 f3 m10 e19 f11 m4 f11 m12
통제되고	f16 m8 e20 f12 m5 f3 m11 f0 m8
통제되었습니다	f16 m8 e20 f12 m5 f3 m11 f11 m4 e19 f9 m18 e16 f2 m20 f3 m0
통증에	f16 m8 e20 f12 m18 e20 f11 m5
통증이	f16 m8 e20 f12 m18 e20 f11 m20
통증치료	f16 m8 e20 f12 m18 e20 f14 m20 f5 m12
통지가	f16 m8 e20 f12 m20 f0 m0
통창들에게	f16 m8 e20 f14 m0 e20 f3 m18 e7 f11 m5 f0 m5
통첩이	f16 m8 e20 f14 m4 e16 f11 m20
통첩입니다	f16 m8 e20 f14 m4 e16 f11 m20 e16 f2 m20 f3 m0
통폐합이	f16 m8 e20 f17 m7 f18 m0 e16 f11 m20
통폐합입니다	f16 m8 e20 f17 m7 f18 m0 e16 f11 m20 e16 f2 m20 f3 m0
통하는	f16 m8 e20 f18 m0 f2 m18 e3
통하여	f16 m8 e20 f18 m0 f11 m6
통하지	f16 m8 e20 f18 m0 f12 m20
통한	f16 m8 e20 f18 m0 e3
통합	f16 m8 e20 f18 m0 e16
통합된	f16 m8 e20 f18 m0 e16 f3 m11 e3
통합망	f16 m8 e20 f18 m0 e16 f6 m0 e20
통합이	f16 m8 e20 f18 m0 e16 f11 m20
통해	f16 m8 e20 f18 m1
통해서	f16 m8 e20 f18 m1 f9 m4
통했다가	f16 m8 e20 f18 m1 e19 f3 m0 f0 m0
통행량	f16 m8 e20 f18 m1 e20 f5 m2 e20
통화	f16 m8 e20 f18 m9
통화가	f16 m8 e20 f18 m9 f0 m0
통화내역	f16 m8 e20 f18 m9 f2 m1 f11 m6 e0
통화내용	f16 m8 e20 f18 m9 f2 m1 f11 m12 e20
통화내용도	f16 m8 e20 f18 m9 f2 m1 f11 m12 e20 f3 m8
통화내용을	f16 m8 e20 f18 m9 f2 m1 f11 m12 e20 f11 m18 e7
통화내용이	f16 m8 e20 f18 m9 f2 m1 f11 m12 e20 f11 m20
통화녹	f16 m8 e20 f18 m9 f2 m8 e0
통화녹음	f16 m8 e20 f18 m9 f2 m8 e0 f11 m18 e15
통화녹음이	f16 m8 e20 f18 m9 f2 m8 e0 f11 m18 e15 f11 m20
통화되지	f16 m8 e20 f18 m9 f3 m11 f12 m20
통화료	f16 m8 e20 f18 m9 f5 m12
통화료는	f16 m8 e20 f18 m9 f5 m12 f2 m18 e3
통화료를	f16 m8 e20 f18 m9 f5 m12 f5 m18 e7
통화를	f16 m8 e20 f18 m9 f5 m18 e7
통화시간	f16 m8 e20 f18 m9 f9 m20 f0 m0 e3
통화시간은	f16 m8 e20 f18 m9 f9 m20 f0 m0 e3 f11 m18 e3
통화시간을	f16 m8 e20 f18 m9 f9 m20 f0 m0 e3 f11 m18 e7
통화시간이	f16 m8 e20 f18 m9 f9 m20 f0 m0 e3 f11 m20
통화중에	f16 m8 e20 f18 m9 f12 m13 e20 f11 m5
통화중이구나	f16 m8 e20 f18 m9 f12 m13 e20 f11 m20 f0 m13 f2 m0
통화중이네	f16 m8 e20 f18 m9 f12 m13 e20 f11 m20 f2 m5
통화중이니까	f16 m8 e20 f18 m9 f12 m13 e20 f11 m20 f2 m20 f1 m0
통화중이니깐	f16 m8 e20 f18 m9 f12 m13 e20 f11 m20 f2 m20 f1 m0 e3
통화중이라	f16 m8 e20 f18 m9 f12 m13 e20 f11 m20 f5 m0
통화중이라고	f16 m8 e20 f18 m9 f12 m13 e20 f11 m20 f5 m0 f0 m8
통화중이라서	f16 m8 e20 f18 m9 f12 m13 e20 f11 m20 f5 m0 f9 m4
통화중이면	f16 m8 e20 f18 m9 f12 m13 e20 f11 m20 f6 m6 e3
통화중이야	f16 m8 e20 f18 m9 f12 m13 e20 f11 m20 f11 m2
통화중이어서	f16 m8 e20 f18 m9 f12 m13 e20 f11 m20 f11 m4 f9 m4
통화중이에요	f16 m8 e20 f18 m9 f12 m13 e20 f11 m20 f11 m5 f11 m12
통화중인	f16 m8 e20 f18 m9 f12 m13 e20 f11 m20 e3
통화중인가보네	f16 m8 e20 f18 m9 f12 m13 e20 f11 m20 e3 f0 m0 f7 m8 f2 m5
통화중인가봐	f16 m8 e20 f18 m9 f12 m13 e20 f11 m20 e3 f0 m0 f7 m9
통화중입니다	f16 m8 e20 f18 m9 f12 m13 e20 f11 m20 e16 f2 m20 f3 m0
통화하고	f16 m8 e20 f18 m9 f18 m0 f0 m8
통화하는	f16 m8 e20 f18 m9 f18 m0 f2 m18 e3
통화하라고	f16 m8 e20 f18 m9 f18 m0 f5 m0 f0 m8
통화하셨습니다	f16 m8 e20 f18 m9 f18 m0 f9 m6 e19 f9 m18 e16 f2 m20 f3 m0
통화하셨어요	f16 m8 e20 f18 m9 f18 m0 f9 m6 e19 f11 m4 f11 m12
통화하였어요	f16 m8 e20 f18 m9 f18 m0 f11 m6 e19 f11 m4 f11 m12
